Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
0,"Indy.pollchief.com | 20.39.40.229, Similar Webs, BackLinks Results",https://www.sitelinks.info/indy.pollchief.com/,https://indy.pollchief.com/,,3,71,true,false,false,true,false,false,false,false,2022-06-12,2022-06-12,false,false
0,Alexa top domain list || page 866,https://www.surekha.co.in/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-06,2022-07-21,false,false
0,Alexa top domain list || page 866,https://www.topdoma.in/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-05,2022-07-22,false,false
0,Alexa top domain list || page 866,https://www.toplist.co.in/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-06,2022-07-22,false,false
0,vote4boston | PollAccess | Vote4Boston,https://www.urllinking.com/finder/vote4boston,https://www.pollchief.com/,,10,22,true,false,false,true,false,false,false,false,2022-01-15,2022-07-05,false,true
0,PollChief - Login,https://www.vote4allen.us/,http://www.pollchief.com/,PollChief,1,1,false,false,false,true,false,false,false,false,2022-03-12,2022-08-28,false,false
0,PollChief - Login,https://www.vote4allen.us/PLMS/Login.aspx,http://www.pollchief.com/,PollChief,1,1,false,false,false,true,false,false,false,false,2022-03-21,2022-09-09,false,false
0,Volunteer | Erica Boswell,https://www.vote4erica.com/volunteer,https://indy.pollchief.com/pollaccess/Application.aspx,Online Poll Worker Application,2,2,false,false,false,true,false,false,false,false,2022-06-14,2022-09-01,false,false
0,Polling Scheme Management System | Polling Location Management System,https://www.websitekeywordchecker.com/search/Polling-Scheme-Management-System,http://pollchief.com/PollingLocation.html,,9,23,true,false,false,true,false,false,false,false,2021-11-24,2022-05-14,false,true
0,Election officials say worker hiring steady despite rhetoric - WISH-TV | Indianapolis News | Indiana Weather | Indiana Traffic,https://www.wishtv.com/news/local-news/election-officials-say-worker-hiring-steady-despite-rhetoric/,https://indy.pollchief.com/pollaccess/,Marion County poll worker sign-up,21,148,false,false,false,true,false,false,false,false,2022-09-06,2022-09-11,true,false
